test,approach,answer,time
email-Enron,DP-WCC,1,21.4676249519275
email-Enron,DP-WCC,2,21.4676498257055
email-Enron,DP-WCC,3,21.4676523130597
email-Enron,DP-WCC,4,21.4676548004096
email-Enron,DP-WCC,5,21.4676562928175
email-Enron,DP-WCC,6,21.4676582826923
email-Enron,DP-WCC,7,21.4676597750966
email-Enron,DP-WCC,8,21.4676612674993
email-Enron,DP-WCC,9,21.4676632573673
email-Enron,DP-WCC,10,21.4676652472324
email-Enron,DP-WCC,11,21.4676667396295
email-Enron,DP-WCC,12,21.4676687294899
email-Enron,DP-WCC,13,21.4676702218834
email-Enron,DP-WCC,14,21.467672211739
email-Enron,DP-WCC,15,21.4676737041289
email-Enron,DP-WCC,16,21.4676756939796
email-Enron,DP-WCC,17,21.4676771863659
email-Enron,DP-WCC,18,21.4676786787507
email-Enron,DP-WCC,19,21.4676806685946
email-Enron,DP-WCC,20,21.4676821609757
email-Enron,DP-WCC,21,21.4676836533553
email-Enron,DP-WCC,22,21.4676856431924
email-Enron,DP-WCC,23,21.4676871355683
email-Enron,DP-WCC,24,21.4676886279428
email-Enron,DP-WCC,25,21.467690617773
email-Enron,DP-WCC,26,21.4676921101438
email-Enron,DP-WCC,27,21.4676940999692
email-Enron,DP-WCC,28,21.4676955923364
email-Enron,DP-WCC,29,21.467697582157
email-Enron,DP-WCC,30,21.4676990745207
email-Enron,DP-WCC,31,21.4677005668828
email-Enron,DP-WCC,32,21.4677020592433
email-Enron,DP-WCC,33,21.467704049055
email-Enron,DP-WCC,34,21.4677055414119
email-Enron,DP-WCC,35,21.4677070337673
email-Enron,DP-WCC,36,21.4677090235722
email-Enron,DP-WCC,37,21.467710515924
email-Enron,DP-WCC,38,21.467712505724
email-Enron,DP-WCC,39,21.4677139980722
email-Enron,DP-WCC,40,21.4677154904188
email-Enron,DP-WCC,41,21.467717480212
email-Enron,DP-WCC,42,21.467718972555
email-Enron,DP-WCC,43,21.4677204648965
email-Enron,DP-WCC,44,21.4677224546828
email-Enron,DP-WCC,45,21.4677239470207
email-Enron,DP-WCC,46,21.4677254393571
email-Enron,DP-WCC,47,21.4677269316919
email-Enron,DP-WCC,48,21.4677284240252
email-Enron,DP-WCC,49,21.4677304138005
email-Enron,DP-WCC,50,21.4677319061302
email-Enron,DP-WCC,51,21.4677333984583
email-Enron,DP-WCC,52,21.4677353882267
email-Enron,DP-WCC,53,21.4677368805513
email-Enron,DP-WCC,54,21.4677388703149
email-Enron,DP-WCC,55,21.4677403626358
email-Enron,DP-WCC,56,21.4677418549552
email-Enron,DP-WCC,57,21.4677433472731
email-Enron,DP-WCC,58,21.4677448395894
email-Enron,DP-WCC,59,21.467746829342
email-Enron,DP-WCC,60,21.4677483216547
email-Enron,DP-WCC,61,21.4677498139659
email-Enron,DP-WCC,62,21.4677518037117
email-Enron,DP-WCC,63,21.4677532960192
email-Enron,DP-WCC,64,21.4677547883252
email-Enron,DP-WCC,65,21.4677562806297
email-Enron,DP-WCC,66,21.4677582703666
email-Enron,DP-WCC,67,21.4677597626675
email-Enron,DP-WCC,68,21.4677612549668
email-Enron,DP-WCC,69,21.4677627472646
email-Enron,DP-WCC,70,21.4677647369925
email-Enron,DP-WCC,71,21.4677662292867
email-Enron,DP-WCC,72,21.4677672241486
email-Enron,DP-WCC,73,21.4677692138704
email-Enron,DP-WCC,74,21.46777070616
email-Enron,DP-WCC,75,21.467772198448
email-Enron,DP-WCC,76,21.4677736907344
email-Enron,DP-WCC,77,21.4677756804473
email-Enron,DP-WCC,78,21.4677771727301
email-Enron,DP-WCC,79,21.4677791624382
email-Enron,DP-WCC,80,21.4677806547175
email-Enron,DP-WCC,81,21.4677821469952
email-Enron,DP-WCC,82,21.4677841366964
email-Enron,DP-WCC,83,21.4677856289705
email-Enron,DP-WCC,84,21.4677871212431
email-Enron,DP-WCC,85,21.4677886135141
email-Enron,DP-WCC,86,21.4677906032064
email-Enron,DP-WCC,87,21.4677920954738
email-Enron,DP-WCC,88,21.4677935877397
email-Enron,DP-WCC,89,21.467795080004
email-Enron,DP-WCC,90,21.4677970696874
email-Enron,DP-WCC,91,21.4677985619481
email-Enron,DP-WCC,92,21.4678000542073
email-Enron,DP-WCC,93,21.4678015464649
email-Enron,DP-WCC,94,21.4678035361394
email-Enron,DP-WCC,95,21.4678050283934
email-Enron,DP-WCC,96,21.4678070180631
