test,approach,answer,time
web-Google,DP-WCC,1,379956750.0
web-Google,DP-WCC,2,379957674.0
web-Google,DP-WCC,3,379957678.0
web-Google,DP-WCC,4,379957682.0
web-Google,DP-WCC,5,379957684.0
web-Google,DP-WCC,6,379957687.0
web-Google,DP-WCC,7,379957690.0
web-Google,DP-WCC,8,379957692.0
web-Google,DP-WCC,9,379957695.0
web-Google,DP-WCC,10,379957698.0
web-Google,DP-WCC,11,379957701.0
web-Google,DP-WCC,12,379957703.0
web-Google,DP-WCC,13,379957706.0
web-Google,DP-WCC,14,379957708.0
web-Google,DP-WCC,15,379957711.0
web-Google,DP-WCC,16,379957714.0
web-Google,DP-WCC,17,379957716.0
web-Google,DP-WCC,18,379957718.0
web-Google,DP-WCC,19,379957721.0
web-Google,DP-WCC,20,379957723.0
web-Google,DP-WCC,21,379957726.0
web-Google,DP-WCC,22,379957728.0
web-Google,DP-WCC,23,379957731.0
web-Google,DP-WCC,24,379957734.0
web-Google,DP-WCC,25,379957736.0
web-Google,DP-WCC,26,379957739.0
web-Google,DP-WCC,27,379957741.0
web-Google,DP-WCC,28,379957744.0
web-Google,DP-WCC,29,379957746.0
web-Google,DP-WCC,30,379957749.0
web-Google,DP-WCC,31,379957752.0
web-Google,DP-WCC,32,379957755.0
web-Google,DP-WCC,33,379957757.0
web-Google,DP-WCC,34,379957760.0
web-Google,DP-WCC,35,379957762.0
web-Google,DP-WCC,36,379957765.0
web-Google,DP-WCC,37,379957768.0
web-Google,DP-WCC,38,379957770.0
web-Google,DP-WCC,39,379957772.0
web-Google,DP-WCC,40,379957775.0
web-Google,DP-WCC,41,379957777.0
web-Google,DP-WCC,42,379957780.0
web-Google,DP-WCC,43,379957783.0
web-Google,DP-WCC,44,379957785.0
web-Google,DP-WCC,45,379957788.0
web-Google,DP-WCC,46,379957790.0
web-Google,DP-WCC,47,379957793.0
web-Google,DP-WCC,48,379957795.0
web-Google,DP-WCC,49,379957798.0
web-Google,DP-WCC,50,379957800.0
web-Google,DP-WCC,51,379957803.0
web-Google,DP-WCC,52,379957806.0
web-Google,DP-WCC,53,379957808.0
web-Google,DP-WCC,54,379957810.0
web-Google,DP-WCC,55,379957813.0
web-Google,DP-WCC,56,379957815.0
web-Google,DP-WCC,57,379957818.0
web-Google,DP-WCC,58,379957820.0
web-Google,DP-WCC,59,379957823.0
web-Google,DP-WCC,60,379957825.0
web-Google,DP-WCC,61,379957828.0
web-Google,DP-WCC,62,379957831.0
web-Google,DP-WCC,63,379957833.0
web-Google,DP-WCC,64,379957836.0
web-Google,DP-WCC,65,379957838.0
web-Google,DP-WCC,66,379957841.0
web-Google,DP-WCC,67,379957844.0
web-Google,DP-WCC,68,379957847.0
web-Google,DP-WCC,69,379957849.0
web-Google,DP-WCC,70,379957852.0
web-Google,DP-WCC,71,379957854.0
web-Google,DP-WCC,72,379957856.0
web-Google,DP-WCC,73,379957859.0
web-Google,DP-WCC,74,379957861.0
web-Google,DP-WCC,75,379957864.0
web-Google,DP-WCC,76,379957866.0
web-Google,DP-WCC,77,379957869.0
web-Google,DP-WCC,78,379957871.0
web-Google,DP-WCC,79,379957874.0
web-Google,DP-WCC,80,379957876.0
web-Google,DP-WCC,81,379957879.0
web-Google,DP-WCC,82,379957881.0
web-Google,DP-WCC,83,379957884.0
web-Google,DP-WCC,84,379957887.0
web-Google,DP-WCC,85,379957889.0
web-Google,DP-WCC,86,379957892.0
web-Google,DP-WCC,87,379957909.0
web-Google,DP-WCC,88,379957912.0
web-Google,DP-WCC,89,379957915.0
web-Google,DP-WCC,90,379957918.0
web-Google,DP-WCC,91,379957921.0
web-Google,DP-WCC,92,379957924.0
web-Google,DP-WCC,93,379957927.0
web-Google,DP-WCC,94,379957931.0
web-Google,DP-WCC,95,379957934.0
web-Google,DP-WCC,96,379957937.0
web-Google,DP-WCC,97,379957940.0
web-Google,DP-WCC,98,379957943.0
web-Google,DP-WCC,99,379957946.0
web-Google,DP-WCC,100,379957950.0
web-Google,DP-WCC,101,379957953.0
web-Google,DP-WCC,102,379957957.0
web-Google,DP-WCC,103,379957960.0
web-Google,DP-WCC,104,379957963.0
web-Google,DP-WCC,105,379957967.0
web-Google,DP-WCC,106,379957971.0
web-Google,DP-WCC,107,379957974.0
web-Google,DP-WCC,108,379957977.0
web-Google,DP-WCC,109,379957980.0
web-Google,DP-WCC,110,379957983.0
web-Google,DP-WCC,111,379957986.0
web-Google,DP-WCC,112,379957989.0
web-Google,DP-WCC,113,379957992.0
web-Google,DP-WCC,114,379957995.0
web-Google,DP-WCC,115,379957998.0
web-Google,DP-WCC,116,379958001.0
web-Google,DP-WCC,117,379958004.0
web-Google,DP-WCC,118,379958008.0
web-Google,DP-WCC,119,379958305.0
web-Google,DP-WCC,120,379958310.0
web-Google,DP-WCC,121,379958313.0
web-Google,DP-WCC,122,379958316.0
web-Google,DP-WCC,123,379958318.0
web-Google,DP-WCC,124,379958320.0
web-Google,DP-WCC,125,379958323.0
web-Google,DP-WCC,126,379958325.0
web-Google,DP-WCC,127,379958329.0
web-Google,DP-WCC,128,379958331.0
web-Google,DP-WCC,129,379958334.0
web-Google,DP-WCC,130,379958337.0
web-Google,DP-WCC,131,379958339.0
web-Google,DP-WCC,132,379958341.0
web-Google,DP-WCC,133,379958344.0
web-Google,DP-WCC,134,379958347.0
web-Google,DP-WCC,135,379958349.0
web-Google,DP-WCC,136,379958352.0
web-Google,DP-WCC,137,379958354.0
web-Google,DP-WCC,138,379958356.0
web-Google,DP-WCC,139,379958359.0
web-Google,DP-WCC,140,379958361.0
web-Google,DP-WCC,141,379958363.0
web-Google,DP-WCC,142,379958366.0
web-Google,DP-WCC,143,379958368.0
web-Google,DP-WCC,144,379958371.0
web-Google,DP-WCC,145,379958374.0
web-Google,DP-WCC,146,379958376.0
web-Google,DP-WCC,147,379958379.0
web-Google,DP-WCC,148,379958381.0
web-Google,DP-WCC,149,379958383.0
web-Google,DP-WCC,150,379958386.0
web-Google,DP-WCC,151,379958388.0
web-Google,DP-WCC,152,379958391.0
web-Google,DP-WCC,153,379958394.0
web-Google,DP-WCC,154,379958396.0
web-Google,DP-WCC,155,379958399.0
web-Google,DP-WCC,156,379958401.0
web-Google,DP-WCC,157,379958404.0
web-Google,DP-WCC,158,379958406.0
web-Google,DP-WCC,159,379958409.0
web-Google,DP-WCC,160,379958411.0
web-Google,DP-WCC,161,379958414.0
web-Google,DP-WCC,162,379958416.0
web-Google,DP-WCC,163,379958419.0
web-Google,DP-WCC,164,379958421.0
web-Google,DP-WCC,165,379958424.0
web-Google,DP-WCC,166,379958426.0
web-Google,DP-WCC,167,379958429.0
web-Google,DP-WCC,168,379958431.0
web-Google,DP-WCC,169,379958434.0
web-Google,DP-WCC,170,379958436.0
web-Google,DP-WCC,171,379958439.0
web-Google,DP-WCC,172,379958441.0
web-Google,DP-WCC,173,379958444.0
web-Google,DP-WCC,174,379958446.0
web-Google,DP-WCC,175,379958449.0
web-Google,DP-WCC,176,379958451.0
web-Google,DP-WCC,177,379958454.0
web-Google,DP-WCC,178,379958457.0
web-Google,DP-WCC,179,379958460.0
web-Google,DP-WCC,180,379958462.0
web-Google,DP-WCC,181,379958464.0
web-Google,DP-WCC,182,379958467.0
web-Google,DP-WCC,183,379958469.0
web-Google,DP-WCC,184,379958472.0
web-Google,DP-WCC,185,379958475.0
web-Google,DP-WCC,186,379958477.0
web-Google,DP-WCC,187,379958480.0
web-Google,DP-WCC,188,379958482.0
web-Google,DP-WCC,189,379958485.0
web-Google,DP-WCC,190,379958488.0
web-Google,DP-WCC,191,379958490.0
web-Google,DP-WCC,192,379958493.0
web-Google,DP-WCC,193,379958496.0
web-Google,DP-WCC,194,379958498.0
web-Google,DP-WCC,195,379958501.0
web-Google,DP-WCC,196,379958503.0
web-Google,DP-WCC,197,379958506.0
web-Google,DP-WCC,198,379958509.0
web-Google,DP-WCC,199,379958511.0
web-Google,DP-WCC,200,379958514.0
web-Google,DP-WCC,201,379958517.0
web-Google,DP-WCC,202,379958519.0
web-Google,DP-WCC,203,379958522.0
web-Google,DP-WCC,204,379958524.0
web-Google,DP-WCC,205,379958526.0
web-Google,DP-WCC,206,379958529.0
web-Google,DP-WCC,207,379958531.0
web-Google,DP-WCC,208,379958534.0
web-Google,DP-WCC,209,379958536.0
web-Google,DP-WCC,210,379958539.0
web-Google,DP-WCC,211,379958541.0
web-Google,DP-WCC,212,379958544.0
web-Google,DP-WCC,213,379958547.0
web-Google,DP-WCC,214,379958550.0
web-Google,DP-WCC,215,379958552.0
web-Google,DP-WCC,216,379958555.0
web-Google,DP-WCC,217,379958558.0
web-Google,DP-WCC,218,379958560.0
web-Google,DP-WCC,219,379958562.0
web-Google,DP-WCC,220,379958565.0
web-Google,DP-WCC,221,379958567.0
web-Google,DP-WCC,222,379958570.0
web-Google,DP-WCC,223,379958573.0
web-Google,DP-WCC,224,379958576.0
web-Google,DP-WCC,225,379958579.0
web-Google,DP-WCC,226,379958581.0
web-Google,DP-WCC,227,379958584.0
web-Google,DP-WCC,228,379958586.0
web-Google,DP-WCC,229,379958588.0
web-Google,DP-WCC,230,379958591.0
web-Google,DP-WCC,231,379958593.0
web-Google,DP-WCC,232,379958596.0
web-Google,DP-WCC,233,379958598.0
web-Google,DP-WCC,234,379958601.0
web-Google,DP-WCC,235,379958603.0
web-Google,DP-WCC,236,379958606.0
web-Google,DP-WCC,237,379958608.0
web-Google,DP-WCC,238,379958610.0
web-Google,DP-WCC,239,379958613.0
