test,approach,answer,time
ca-AstroPh,DPFH-WCC,1,2678985
ca-AstroPh,DPFH-WCC,2,2679018
ca-AstroPh,DPFH-WCC,3,2679021
ca-AstroPh,DPFH-WCC,4,2679023
ca-AstroPh,DPFH-WCC,5,2679024
ca-AstroPh,DPFH-WCC,6,2679026
ca-AstroPh,DPFH-WCC,7,2679028
ca-AstroPh,DPFH-WCC,8,2679031
ca-AstroPh,DPFH-WCC,9,2679032
ca-AstroPh,DPFH-WCC,10,2679034
ca-AstroPh,DPFH-WCC,11,2679036
ca-AstroPh,DPFH-WCC,12,2679038
ca-AstroPh,DPFH-WCC,13,2679040
ca-AstroPh,DPFH-WCC,14,2679042
ca-AstroPh,DPFH-WCC,15,2679044
ca-AstroPh,DPFH-WCC,16,2679046
ca-AstroPh,DPFH-WCC,17,2679047
ca-AstroPh,DPFH-WCC,18,2679050
ca-AstroPh,DPFH-WCC,19,2679052
ca-AstroPh,DPFH-WCC,20,2679054
ca-AstroPh,DPFH-WCC,21,2679056
ca-AstroPh,DPFH-WCC,22,2679058
ca-AstroPh,DPFH-WCC,23,2679059
ca-AstroPh,DPFH-WCC,24,2679061
ca-AstroPh,DPFH-WCC,25,2679063
ca-AstroPh,DPFH-WCC,26,2679065
ca-AstroPh,DPFH-WCC,27,2679067
ca-AstroPh,DPFH-WCC,28,2679068
ca-AstroPh,DPFH-WCC,29,2679070
ca-AstroPh,DPFH-WCC,30,2679072
ca-AstroPh,DPFH-WCC,31,2679074
ca-AstroPh,DPFH-WCC,32,2679076
ca-AstroPh,DPFH-WCC,33,2679077
ca-AstroPh,DPFH-WCC,34,2679079
ca-AstroPh,DPFH-WCC,35,2679081
ca-AstroPh,DPFH-WCC,36,2679083
ca-AstroPh,DPFH-WCC,37,2679085
ca-AstroPh,DPFH-WCC,38,2679087
ca-AstroPh,DPFH-WCC,39,2679089
ca-AstroPh,DPFH-WCC,40,2679090
ca-AstroPh,DPFH-WCC,41,2679092
ca-AstroPh,DPFH-WCC,42,2679094
ca-AstroPh,DPFH-WCC,43,2679096
ca-AstroPh,DPFH-WCC,44,2679098
ca-AstroPh,DPFH-WCC,45,2679100
ca-AstroPh,DPFH-WCC,46,2679102
ca-AstroPh,DPFH-WCC,47,2679103
ca-AstroPh,DPFH-WCC,48,2679105
ca-AstroPh,DPFH-WCC,49,2679107
ca-AstroPh,DPFH-WCC,50,2679109
ca-AstroPh,DPFH-WCC,51,2679111
ca-AstroPh,DPFH-WCC,52,2679112
ca-AstroPh,DPFH-WCC,53,2679115
ca-AstroPh,DPFH-WCC,54,2679116
ca-AstroPh,DPFH-WCC,55,2679118
ca-AstroPh,DPFH-WCC,56,2679120
ca-AstroPh,DPFH-WCC,57,2679122
ca-AstroPh,DPFH-WCC,58,2679124
ca-AstroPh,DPFH-WCC,59,2679125
ca-AstroPh,DPFH-WCC,60,2679127
ca-AstroPh,DPFH-WCC,61,2679129
ca-AstroPh,DPFH-WCC,62,2679131
ca-AstroPh,DPFH-WCC,63,2679133
ca-AstroPh,DPFH-WCC,64,2679135
ca-AstroPh,DPFH-WCC,65,2679137
ca-AstroPh,DPFH-WCC,66,2679138
ca-AstroPh,DPFH-WCC,67,2679140
ca-AstroPh,DPFH-WCC,68,2679142
ca-AstroPh,DPFH-WCC,69,2679144
ca-AstroPh,DPFH-WCC,70,2679146
ca-AstroPh,DPFH-WCC,71,2679148
ca-AstroPh,DPFH-WCC,72,2679150
ca-AstroPh,DPFH-WCC,73,2679151
ca-AstroPh,DPFH-WCC,74,2679153
ca-AstroPh,DPFH-WCC,75,2679155
