test,approach,answer,time
email-Enron,DPFH-WCC,1,21.073293662772
email-Enron,DPFH-WCC,2,21.0733119705785
email-Enron,DPFH-WCC,3,21.0733139321155
email-Enron,DPFH-WCC,4,21.0733145859605
email-Enron,DPFH-WCC,5,21.0733158936497
email-Enron,DPFH-WCC,6,21.0733172013377
email-Enron,DPFH-WCC,7,21.0733178551813
email-Enron,DPFH-WCC,8,21.0733191628676
email-Enron,DPFH-WCC,9,21.0733204705526
email-Enron,DPFH-WCC,10,21.0733217782365
email-Enron,DPFH-WCC,11,21.0733230859192
email-Enron,DPFH-WCC,12,21.0733243936007
email-Enron,DPFH-WCC,13,21.073325701281
email-Enron,DPFH-WCC,14,21.0733270089601
email-Enron,DPFH-WCC,15,21.0733283166381
email-Enron,DPFH-WCC,16,21.0733296243148
email-Enron,DPFH-WCC,17,21.0733302781528
email-Enron,DPFH-WCC,18,21.0733322396648
email-Enron,DPFH-WCC,19,21.0733328935016
email-Enron,DPFH-WCC,20,21.0733342011742
email-Enron,DPFH-WCC,21,21.0733355088456
email-Enron,DPFH-WCC,22,21.0733368165158
email-Enron,DPFH-WCC,23,21.0733381241849
email-Enron,DPFH-WCC,24,21.0733394318528
email-Enron,DPFH-WCC,25,21.0733407395195
email-Enron,DPFH-WCC,26,21.0733413933524
email-Enron,DPFH-WCC,27,21.0733427010173
email-Enron,DPFH-WCC,28,21.073344008681
email-Enron,DPFH-WCC,29,21.0733453163435
email-Enron,DPFH-WCC,30,21.0733466240049
email-Enron,DPFH-WCC,31,21.073347931665
email-Enron,DPFH-WCC,32,21.073349239324
email-Enron,DPFH-WCC,33,21.0733498931531
email-Enron,DPFH-WCC,34,21.0733512008103
email-Enron,DPFH-WCC,35,21.0733525084663
email-Enron,DPFH-WCC,36,21.0733544699481
email-Enron,DPFH-WCC,37,21.0733551237748
email-Enron,DPFH-WCC,38,21.0733564314272
email-Enron,DPFH-WCC,39,21.0733577390785
email-Enron,DPFH-WCC,40,21.0733590467286
email-Enron,DPFH-WCC,41,21.0733603543775
email-Enron,DPFH-WCC,42,21.0733616620252
email-Enron,DPFH-WCC,43,21.0733629696718
email-Enron,DPFH-WCC,44,21.0733642773171
email-Enron,DPFH-WCC,45,21.0733649311394
email-Enron,DPFH-WCC,46,21.0733662387829
email-Enron,DPFH-WCC,47,21.0733675464253
email-Enron,DPFH-WCC,48,21.0733688540665
email-Enron,DPFH-WCC,49,21.0733701617065
email-Enron,DPFH-WCC,50,21.0733714693454
email-Enron,DPFH-WCC,51,21.0733721231643
email-Enron,DPFH-WCC,52,21.0733734308014
email-Enron,DPFH-WCC,53,21.0733753922548
