test,approach,answer,time
email-Enron,DP-WCC,1,4487.13720703125
email-Enron,DP-WCC,2,4487.198974609375
email-Enron,DP-WCC,3,4487.2080078125
email-Enron,DP-WCC,4,4487.21484375
email-Enron,DP-WCC,5,4487.219970703125
email-Enron,DP-WCC,6,4487.224853515625
email-Enron,DP-WCC,7,4487.22998046875
email-Enron,DP-WCC,8,4487.23486328125
email-Enron,DP-WCC,9,4487.240966796875
email-Enron,DP-WCC,10,4487.245849609375
email-Enron,DP-WCC,11,4487.251953125
email-Enron,DP-WCC,12,4487.2568359375
email-Enron,DP-WCC,13,4487.260986328125
email-Enron,DP-WCC,14,4487.26611328125
email-Enron,DP-WCC,15,4487.27099609375
email-Enron,DP-WCC,16,4487.276123046875
email-Enron,DP-WCC,17,4487.281005859375
email-Enron,DP-WCC,18,4487.2861328125
email-Enron,DP-WCC,19,4487.291015625
email-Enron,DP-WCC,20,4487.297119140625
email-Enron,DP-WCC,21,4487.302001953125
email-Enron,DP-WCC,22,4487.30712890625
email-Enron,DP-WCC,23,4487.31201171875
email-Enron,DP-WCC,24,4487.316162109375
email-Enron,DP-WCC,25,4487.321044921875
email-Enron,DP-WCC,26,4487.326171875
email-Enron,DP-WCC,27,4487.330810546875
email-Enron,DP-WCC,28,4487.3359375
email-Enron,DP-WCC,29,4487.340087890625
email-Enron,DP-WCC,30,4487.344970703125
email-Enron,DP-WCC,31,4487.35009765625
email-Enron,DP-WCC,32,4487.35498046875
email-Enron,DP-WCC,33,4487.360107421875
email-Enron,DP-WCC,34,4487.364990234375
email-Enron,DP-WCC,35,4487.3701171875
email-Enron,DP-WCC,36,4487.3740234375
email-Enron,DP-WCC,37,4487.380126953125
email-Enron,DP-WCC,38,4487.38427734375
email-Enron,DP-WCC,39,4487.388916015625
email-Enron,DP-WCC,40,4487.39404296875
email-Enron,DP-WCC,41,4487.39794921875
email-Enron,DP-WCC,42,4487.403076171875
email-Enron,DP-WCC,43,4487.407958984375
email-Enron,DP-WCC,44,4487.4130859375
email-Enron,DP-WCC,45,4487.41796875
email-Enron,DP-WCC,46,4487.422119140625
email-Enron,DP-WCC,47,4487.427001953125
email-Enron,DP-WCC,48,4487.43212890625
email-Enron,DP-WCC,49,4487.437255859375
email-Enron,DP-WCC,50,4487.442138671875
email-Enron,DP-WCC,51,4487.446044921875
email-Enron,DP-WCC,52,4487.450927734375
email-Enron,DP-WCC,53,4487.45703125
email-Enron,DP-WCC,54,4487.4609375
email-Enron,DP-WCC,55,4487.465087890625
email-Enron,DP-WCC,56,4487.469970703125
email-Enron,DP-WCC,57,4487.47509765625
email-Enron,DP-WCC,58,4487.47998046875
email-Enron,DP-WCC,59,4487.48388671875
email-Enron,DP-WCC,60,4487.489013671875
email-Enron,DP-WCC,61,4487.493896484375
email-Enron,DP-WCC,62,4487.4990234375
email-Enron,DP-WCC,63,4487.50390625
email-Enron,DP-WCC,64,4487.508056640625
email-Enron,DP-WCC,65,4487.512939453125
email-Enron,DP-WCC,66,4487.51806640625
email-Enron,DP-WCC,67,4487.52294921875
email-Enron,DP-WCC,68,4487.528076171875
email-Enron,DP-WCC,69,4487.533203125
email-Enron,DP-WCC,70,4487.7890625
email-Enron,DP-WCC,71,4487.823974609375
email-Enron,DP-WCC,72,4487.8310546875
email-Enron,DP-WCC,73,4487.8369140625
email-Enron,DP-WCC,74,4487.841064453125
email-Enron,DP-WCC,75,4487.845947265625
email-Enron,DP-WCC,76,4487.85107421875
email-Enron,DP-WCC,77,4487.85498046875
email-Enron,DP-WCC,78,4487.859130859375
email-Enron,DP-WCC,79,4487.864013671875
email-Enron,DP-WCC,80,4487.867919921875
email-Enron,DP-WCC,81,4487.8720703125
email-Enron,DP-WCC,82,4487.8759765625
email-Enron,DP-WCC,83,4487.880126953125
email-Enron,DP-WCC,84,4487.88525390625
email-Enron,DP-WCC,85,4487.888916015625
email-Enron,DP-WCC,86,4487.89306640625
email-Enron,DP-WCC,87,4487.89697265625
email-Enron,DP-WCC,88,4487.901123046875
email-Enron,DP-WCC,89,4487.905029296875
email-Enron,DP-WCC,90,4487.908935546875
email-Enron,DP-WCC,91,4487.9130859375
email-Enron,DP-WCC,92,4487.917236328125
email-Enron,DP-WCC,93,4487.922119140625
email-Enron,DP-WCC,94,4487.926025390625
email-Enron,DP-WCC,95,4487.930908203125
email-Enron,DP-WCC,96,4487.94921875
email-Enron,DP-WCC,97,4487.952880859375
email-Enron,DP-WCC,98,4487.95703125
email-Enron,DP-WCC,99,4487.960205078125
email-Enron,DP-WCC,100,4487.964111328125
email-Enron,DP-WCC,101,4487.96923828125
email-Enron,DP-WCC,102,4487.972900390625
email-Enron,DP-WCC,103,4487.97705078125
email-Enron,DP-WCC,104,4487.981201171875
email-Enron,DP-WCC,105,4487.985107421875
email-Enron,DP-WCC,106,4487.989013671875
email-Enron,DP-WCC,107,4487.992919921875
email-Enron,DP-WCC,108,4487.9970703125
email-Enron,DP-WCC,109,4488.001220703125
email-Enron,DP-WCC,110,4488.0048828125
email-Enron,DP-WCC,111,4488.009033203125
email-Enron,DP-WCC,112,4488.01318359375
email-Enron,DP-WCC,113,4488.01708984375
email-Enron,DP-WCC,114,4488.02099609375
email-Enron,DP-WCC,115,4488.02490234375
email-Enron,DP-WCC,116,4488.029052734375
email-Enron,DP-WCC,117,4488.033203125
email-Enron,DP-WCC,118,4488.036865234375
